Year,CPI
1967,34.71
1968,36.32
1969,38.43
1970,40.82
1971,42.74
1972,44.05
1973,45.58
1974,49.34
1975,53.89
1976,57.43
1977,61.02
1978,65.48
1979,71.86
1980,80.78
1981,89.24
1982,95.85
1983,99.62
1984,104.54
1985,109.12
1986,113.52
1987,118.2
1988,123.42
1989,128.98
1990,135.46
1991,142.11
1992,147.31
1993,152.17
1994,156.52
1995,161.2
1996,165.56
1997,169.51
1998,173.38
1999,176.98
2000,181.29
2001,186.13
2002,190.45
2003,193.22
2004,196.62
2005,200.89
2006,205.92
2007,210.73
2008,215.57
2009,219.24
2010,221.34
2011,225.01
2012,229.76
2013,233.81
2014,237.9
2015,242.25
2016,247.6
2017,252.17
2018,257.57
2019,263.21
2020,267.69
2021,277.25
2022,294.31
